format	credit-ordering-v1
available_parallelism	11
columns	policy	threads	capacity	operations	median_ns	operations_per_second
result	acqrel	1	1	1000000	7888917	126760112
result	relaxed	1	1	1000000	4703875	212590683
result	acqrel	1	1	1000000	5986583	167040196
result	relaxed	1	1	1000000	4227500	236546422
result	acqrel	2	1	2000000	52337833	38213275
result	relaxed	2	1	2000000	21086542	94847225
result	acqrel	2	2	2000000	41770208	47881016
result	relaxed	2	2	2000000	15348167	130308720
result	acqrel	4	1	4000000	277416708	14418742
result	relaxed	4	1	4000000	76399208	52356564
result	acqrel	4	4	4000000	217987084	18349711
result	relaxed	4	4	4000000	100847125	39663996
result	acqrel	8	1	8000000	797921958	10026043
result	relaxed	8	1	8000000	214693667	37262394
result	acqrel	8	8	8000000	528030917	15150628
result	relaxed	8	8	8000000	195675625	40883988
