policy,producers,payload,baseline_mean_ns,optimized_mean_ns,speedup
atomic,1,0,6102980,3249625,1.878
atomic,1,64,9386125,5467896,1.717
atomic,1,4096,9498729,10821458,0.878
atomic,2,0,7151500,5088729,1.405
atomic,2,64,9752062,7627229,1.279
atomic,2,4096,8998604,9013042,0.998
atomic,4,0,8293500,4705166,1.763
atomic,4,64,11841146,8410958,1.408
atomic,4,4096,11186354,9375812,1.193
atomic,8,0,8700021,5305834,1.640
atomic,8,64,11771625,9230146,1.275
atomic,8,4096,11565812,20906958,0.553
default,1,0,5921292,3328646,1.779
default,1,64,7930646,9329354,0.850
default,1,4096,10238688,8437500,1.213
default,2,0,5684583,3149250,1.805
default,2,64,9117146,4904958,1.859
default,2,4096,8377937,7725334,1.084
default,4,0,6827480,5332125,1.280
default,4,64,10580708,6484646,1.632
default,4,4096,10218792,7820084,1.307
default,8,0,6234021,4285041,1.455
default,8,64,8585458,7627042,1.126
default,8,4096,9640271,7761770,1.242
