policy,producers,payload,n,median_ns,completed,checked_out,reserved,terminal,rejected_slots,rejected_bytes,checksum
default,1,0,20000,6361375, 20000,0,0,0,1091,0,20000
default,1,64,20000,8270708, 20000,0,0,0,551,0,20000
default,1,4096,20000,9856000, 20000,0,0,0,237,0,20000
default,2,0,20000,6397208, 20000,0,0,0,2551,0,20000
default,2,64,20000,8740083, 20000,0,0,0,12360,0,20000
default,2,4096,20000,8681291, 20000,0,0,0,5781,0,20000
default,4,0,20000,7648042, 20000,0,0,0,4589,0,20000
default,4,64,20000,12343333, 20000,0,0,0,1074,0,20000
default,4,4096,20000,10301166, 20000,0,0,0,8615,0,20000
default,8,0,20000,6489208, 20000,0,0,0,3182,0,20000
default,8,64,20000,8412500, 20000,0,0,0,8955,0,20000
default,8,4096,20000,10546083, 20000,0,0,0,28307,0,20000
atomic,1,0,20000,5357042, 20000,0,0,0,2184,0,20000
atomic,1,64,20000,9440667, 20000,0,0,0,1284,0,20000
atomic,1,4096,20000,9997875, 20000,0,0,0,315,0,20000
atomic,2,0,20000,7184500, 20000,0,0,0,2134,0,20000
atomic,2,64,20000,8832083, 20000,0,0,0,12319,0,20000
atomic,2,4096,20000,7988583, 20000,0,0,0,3918,0,20000
atomic,4,0,20000,7668625, 20000,0,0,0,12417,0,20000
atomic,4,64,20000,11192250, 20000,0,0,0,32141,0,20000
atomic,4,4096,20000,11279875, 20000,0,0,0,15241,0,20000
atomic,8,0,20000,8636708, 20000,0,0,0,6451,0,20000
atomic,8,64,20000,11389500, 20000,0,0,0,9362,0,20000
atomic,8,4096,20000,11274459, 20000,0,0,0,13445,0,20000
