policy,producers,payload,n,median_ns,completed,checked_out,reserved,terminal,rejected_slots,rejected_bytes,checksum
default,1,0,20000,1801500, 20000,0,0,0,312,0,20000
default,1,64,20000,8239250, 20000,0,0,0,1564,0,20000
default,1,4096,20000,6524125, 20000,0,0,0,464,0,20000
default,2,0,20000,1909666, 20000,0,0,0,794,0,20000
default,2,64,20000,4516000, 20000,0,0,0,3479,0,20000
default,2,4096,20000,5981459, 20000,0,0,0,560,0,20000
default,4,0,20000,5830917, 20000,0,0,0,833,0,20000
default,4,64,20000,5120167, 20000,0,0,0,736,0,20000
default,4,4096,20000,6430917, 20000,0,0,0,1427,0,20000
default,8,0,20000,3943291, 20000,0,0,0,1607,0,20000
default,8,64,20000,6932125, 20000,0,0,0,1164,0,20000
default,8,4096,20000,7671166, 20000,0,0,0,2876,0,20000
atomic,1,0,20000,1358917, 20000,0,0,0,326,0,20000
atomic,1,64,20000,2055875, 20000,0,0,0,329,0,20000
atomic,1,4096,20000,11201750, 20000,0,0,0,739,0,20000
atomic,2,0,20000,3694875, 20000,0,0,0,567,0,20000
atomic,2,64,20000,4847250, 20000,0,0,0,1521,0,20000
atomic,2,4096,20000,8230917, 20000,0,0,0,457,0,20000
atomic,4,0,20000,3992125, 20000,0,0,0,877,0,20000
atomic,4,64,20000,5643292, 20000,0,0,0,738,0,20000
atomic,4,4096,20000,7908709, 20000,0,0,0,863,0,20000
atomic,8,0,20000,4118417, 20000,0,0,0,1388,0,20000
atomic,8,64,20000,9646125, 20000,0,0,0,1447,0,20000
atomic,8,4096,20000,9036125, 20000,0,0,0,5387,0,20000
