policy,producers,payload,n,median_ns,completed,checked_out,reserved,terminal,rejected_slots,rejected_bytes,checksum
default,1,0,20000,1181583, 20000,0,0,0,320,0,20000
default,1,64,20000,5526625, 20000,0,0,0,296,0,20000
default,1,4096,20000,6293041, 20000,0,0,0,511,0,20000
default,2,0,20000,3305500, 20000,0,0,0,581,0,20000
default,2,64,20000,5520083, 20000,0,0,0,878,0,20000
default,2,4096,20000,8830500, 20000,0,0,0,519,0,20000
default,4,0,20000,2894208, 20000,0,0,0,1162,0,20000
default,4,64,20000,12603375, 20000,0,0,0,1101,0,20000
default,4,4096,20000,8192083, 20000,0,0,0,1078,0,20000
default,8,0,20000,5941167, 20000,0,0,0,1231,0,20000
default,8,64,20000,11356083, 20000,0,0,0,1410,0,20000
default,8,4096,20000,11301167, 20000,0,0,0,1618,0,20000
atomic,1,0,20000,1205375, 20000,0,0,0,294,0,20000
atomic,1,64,20000,5920500, 20000,0,0,0,312,0,20000
atomic,1,4096,20000,8026625, 20000,0,0,0,427,0,20000
atomic,2,0,20000,5429833, 20000,0,0,0,807,0,20000
atomic,2,64,20000,8947917, 20000,0,0,0,703,0,20000
atomic,2,4096,20000,12702500, 20000,0,0,0,762,0,20000
atomic,4,0,20000,4515250, 20000,0,0,0,1144,0,20000
atomic,4,64,20000,5770875, 20000,0,0,0,1161,0,20000
atomic,4,4096,20000,17984041, 20000,0,0,0,785,0,20000
atomic,8,0,20000,6513750, 20000,0,0,0,1191,0,20000
atomic,8,64,20000,6093291, 20000,0,0,0,1086,0,20000
atomic,8,4096,20000,7205417, 20000,0,0,0,1346,0,20000
