overlays	run	uncached_ns	cached_ns
0	0	111917	111917
0	1	111917	111917
0	2	111875	111917
0	3	112042	110584
0	4	110542	110417
0	5	110417	110333
0	6	110416	110417
1	0	110667	110583
1	1	110625	110500
1	2	110625	110541
1	3	115833	112166
1	4	112291	112209
1	5	112084	112209
1	6	112167	112167
4	0	327583	322791
4	1	327416	322709
4	2	472083	322833
4	3	363500	322875
4	4	761125	991833
4	5	1325083	954041
4	6	729209	792500
16	0	3097459	1160750
16	1	1158209	1162042
16	2	1218042	1381542
16	3	1158375	1242291
16	4	1392459	1467792
16	5	1184291	1241417
16	6	1358625	1252250
32	0	2804083	4189583
32	1	2788792	2613500
32	2	2579125	2461958
32	3	2448209	2513166
32	4	2392084	2420000
32	5	3010084	4532250
32	6	9638375	3036291
64	0	5475875	5039917
64	1	5479542	6163250
64	2	5806042	6407000
64	3	5991083	27166500
64	4	5068959	5134291
64	5	7004875	10658875
64	6	5020458	5102666
128	0	18548959	12455208
128	1	13511875	11169833
128	2	9911542	9935834
128	3	11377125	13151750
128	4	13020709	10456750
128	5	10488208	11234041
128	6	11958000	10078916
256	0	22612083	20293500
256	1	19943250	21282833
256	2	21635959	19877458
256	3	21451250	20784875
256	4	21336958	20208917
256	5	20087125	22036500
256	6	20169583	22207583
1024	0	82405375	82541541
1024	1	84168750	83940625
1024	2	102535708	112031667
1024	3	121184458	99985875
1024	4	86481584	83436667
1024	5	82585042	82949167
1024	6	82257375	79805000
4096	0	426020917	355150250
4096	1	336474834	442518000
4096	2	443859375	468116250
4096	3	404167166	349146958
4096	4	531772792	390126750
4096	5	340914542	417505209
4096	6	388017041	398555208
16384	0	1522288791	1547322583
16384	1	1541397125	1409988875
16384	2	1481512292	1374635792
16384	3	1427612584	1492794667
16384	4	1422347375	1486512166
16384	5	1441654875	1443369125
16384	6	1470088125	1499295917
