format	swiss-index-v1
entries	queries	distribution	representation	metadata_bytes	median_ns	checksum
100000	2000000	hits	baseline-half-load	1048576	8342875	99999000000
100000	2000000	hits	swiss-scalar	655360	27392042	99999000000
100000	2000000	hits	swiss-neon	655360	5661375	99999000000
100000	2000000	hits	swiss-neon-hybrid	655360	27623000	99999000000
100000	2000000	misses	baseline-half-load	1048576	12852917	8589934590000000
100000	2000000	misses	swiss-scalar	655360	30773250	8589934590000000
100000	2000000	misses	swiss-neon	655360	18006500	8589934590000000
100000	2000000	misses	swiss-neon-hybrid	655360	18267917	8589934590000000
100000	2000000	mixed	baseline-half-load	1048576	13146042	4295017294000000
100000	2000000	mixed	swiss-scalar	655360	27182042	4295017294000000
100000	2000000	mixed	swiss-neon	655360	14022625	4295017294000000
100000	2000000	mixed	swiss-neon-hybrid	655360	27200375	4295017294000000
